id,goal,function,arg,time_elapsed,max_memory
117d1593085f,stringCreateCosts,random_choices,1000000,0.1884167194366455,9448721
374c51839ddd,stringCreateCosts,string_append,1000000,2.823638916015625,1000339
ae9aef48bfdc,stringMatch,array_append,1000000,0.07321500778198242,6241721
1ca1ba1d0fbc,stringMatch,comprehension,1000000,0.0581049919128418,6241721
a86d95a8523e,stringMatch,generator,1000000,0.06824302673339844,6241825
674b960bbe20,stringMatch,read_file,1000000,0.0006399154663085938,2005221
10052313b285,stringMatch,string_append,1000000,0.29691219329833984,2005221
600104da750d,intArrayCosts,comprehension,10000000,4.9286909103393555,369088100
4873d489c969,intArrayCosts,generator,10000000,4.934446811676025,369088116
7ad194b6da22,intArrayCosts,range_append,10000000,4.940424919128418,369087956
cb01e075d5bb,intArrayCosts,zero_array,10000000,4.8153111934661865,359992852
76c3697fa5f9,stringCreateCosts,array_append,10000000,22.511318922042847,99095181
74165ee5e190,stringCreateCosts,comprehension,10000000,23.448918104171753,99095257
0a091e2e5b9e,stringCreateCosts,random_choices,10000000,1.8903141021728516,99095153
1fe99dc13a25,stringCreateCosts,string_append,10000000,27.49905300140381,10000339
a9cb31e6b489,stringMatch,array_append,10000000,0.72031569480896,64973098
211732d946c5,stringMatch,comprehension,10000000,0.5891220569610596,64973098
dd4ae73c4e51,stringMatch,generator,10000000,0.6764111518859863,64973202
e618b3ba1318,stringMatch,read_file,10000000,0.009062051773071289,20005222
b0e5a89a95f2,stringMatch,string_append,10000000,2.941526174545288,20005222
d2e5087dab4e,intArrayCosts,comprehension,100000000,49.76451587677002,3635121540
299bca733ca3,intArrayCosts,generator,100000000,49.7644100189209,3635121556
1c2b7426a790,intArrayCosts,range_append,100000000,50.61895394325256,3635121396
3fb5dcfdece4,intArrayCosts,zero_array,100000000,49.290685176849365,3599992852
67f048c8c6db,stringCreateCosts,array_append,100000000,229.83985996246338,935128621
2e772df5ba55,stringCreateCosts,comprehension,100000000,232.55878496170044,935128697
abcbce9ed414,stringCreateCosts,random_choices,100000000,18.954598903656006,935128593
02b48b7138dd,stringCreateCosts,string_append,100000000,271.82203793525696,100000339
00aa668a1868,stringMatch,array_append,100000000,7.194821119308472,618757471
e29e49772eb0,stringMatch,comprehension,100000000,5.782299041748047,618757471
0c08955b49f8,stringMatch,generator,100000000,6.74648380279541,618757575
1787f684a7ea,stringMatch,read_file,100000000,0.06972622871398926,200005223
a784b1860d78,stringMatch,string_append,100000000,30.32028889656067,200005223
